职位,公司,城市,工资,发布日期,经验要求,学历
Python,长春理想科技信息有限公司,北京-朝阳区,0.8-1.3万/月,07-19,2年经验,本科
Python开发工程师,深圳市睿服科技有限公司,深圳-福田区,1-1.5万/月,07-19,3-4年经验,本科
Python初级开发工程师,华世界科技（深圳）有限公司,深圳-龙岗区,6-9千/月,07-19,1年经验,本科
Python工程师（全栈方向）,江苏伽合网络技术有限公司,南京-建邺区,1.5-2万/月,07-19,无工作经验,本科
python爬虫工程师,徐州游方网络科技有限公司,徐州,0.6-1万/月,07-19,1年经验,本科
Python开发工程师,上海井胜通讯技术有限公司,杭州,0.8-1万/月,07-19,3-4年经验,大专
Python开发工程师,深圳生理科技有限公司,深圳-南山区,1-1.5万/月,07-19,2年经验,本科
Python开发工程师,重庆锦禹云能源科技有限公司,重庆-南岸区,0.7-1.2万/月,07-19,2年经验,本科
python开发工程师(武汉）,深圳市工源人才派遣有限公司,武汉-东湖新技...,0.8-1万/月,07-19,3-4年经验,大专
Python工程师,奇虎360科技有限公司,北京,2.5-3万/月,07-19,3-4年经验,本科
python全栈开发工程师,广州嘉为科技有限公司,深圳,0.9-1.5万/月,07-19,无工作经验,本科
Python开发工程师,广州国交润万交通信息有限公司,广州,0.8-1.5万/月,07-19,2年经验,本科
Python 开发员,上海南客电子商务有限公司,上海-静安区,1-1.5万/月,07-19,5-7年经验,本科
Python开发（爬虫）/Python爬虫,上海同梁智能科技有限公司,上海-杨浦区,0.6-1.1万/月,07-19,无工作经验,大专
python开发（base深圳）,广州微分子信息科技有限公司,广州-天河区,1-1.5万/月,07-19,1年经验,大专
Python高级开发工程师,互道信息技术（上海）有限公司,上海-浦东新区,1.8-3万/月,07-19,3-4年经验,本科
Python课程研发001,上海优必杰教育科技有限公司,上海-杨浦区,0.8-1.5万/月,07-19,3-4年经验,本科
Python后端开发工程师,益农控股（广东）有限公司,广州-海珠区,0.8-1.2万/月,07-19,3-4年经验,本科
Python在线讲师,北京轻备教育科技有限公司,成都-武侯区,0.8-1万/月,07-19,无工作经验,大专
Python开发工程师,深圳秀火网络科技有限公司,深圳-宝安区,1.2-1.5万/月,07-19,3-4年经验,大专
