职位,公司,城市,工资,发布日期,经验要求,学历,职能类别,招聘人数
客服文员,深圳市淯霖投资有限公司,深圳-罗湖区,0.5-1万/月,07-23,无工作经验,招5人,客服专员/助理;咨询热线/呼叫中心服务人员;客服;销售;电话客服;美容,07-23发布
酒店总经理,重庆市巴南建设（集团）有限公司,文山,0.8-1.5万/月,07-23,10年以上经验,本科,酒店/宾馆经理,招1人
行政前台,西安淘学堡企业信息咨询有限公司,西安-雁塔区,3-4.5千/月,07-23,无工作经验,招1人,行政专员/助理,07-23发布
急招金融销售代表（底薪4k-7k+年薪20万+五险一金）,民众证券投资咨询有限公司,深圳-南山区,0.8-3万/月,07-23,无工作经验,高中,销售代表;金融产品销售;销售;客户代表;大客户销售;电话销售;市场;销售顾问;金融;网销;证券,招若干人
***教师,哈尔滨市香坊区永涛文化艺术学校,哈尔滨-香坊区,2-3千/月,07-23,无工作经验,大专,小学教师,招3人
亚马逊运营,深圳思科英达科技有限公司,深圳-龙华新区,6-8千/月,07-23,无工作经验,大专,贸易/外贸专员/助理;电子商务专员;亚马逊;美国;外贸;业务;跨境;电商,招若干人
汽车润滑油销售主管,郑州市冠恒贸易有限公司,郑州,1.5-2万/月,07-23,8-9年经验,大专,销售主管;润滑油主管,招若干人
3C延保专员+早九晚六+周末双休,知学咨询,成都-武侯区,6-8千/月,07-23,无工作经验,大专,电话销售;咨询热线/呼叫中心服务人员;电话销售;外呼客服;客服文员;双休;五险一金,招5人
仓库理货员,广州郑一生化妆品有限公司,广州-白云区,3-4.5千/月,07-23,2年经验,高中,理货员;仓库;理货员,招1人
连锁运营管理,普伟集团,广州-天河区,1.5-2.5万/月,07-23,无工作经验,大专,品牌/连锁招商管理;首席运营官COO;连锁运营;连锁管理;连锁咨询,招1人
天猫客服（高底薪+高提成+五险),广州三为互联网科技有限公司,广州-白云区,6-8千/月,07-23,2年经验,大专,网店/淘宝店长;网店/淘宝客服,招2人
平面设计师（1.5天休，5-7k）,北京时七教育集团,郑州-郑东新区,4-6千/月,07-23,5-7年经验,大专,平面设计师,招1人
招标投标实习生,广州谱恩科学仪器有限公司,广州-天河区,3.5-5千/月,07-23,无工作经验,大专,招投标管理;招标投标,招3人
成都综合服务团队督训岗,建信人寿保险股份有限公司四川分公司,成都-锦江区,0.6-1万/月,07-23,2年经验,本科,保险培训师;保险内勤;保险;培训;综合服务,招1人
客服专员  物流客服  储备干部,深圳市全和悦供应链管理有限公司,深圳-龙岗区,5-8千/月,07-23,1年经验,大专,客服专员/助理;咨询热线/呼叫中心服务人员;客服;物流客服;第三方物流;FBA客服,招若干人
房地产销售代表/无责4千,南京瑞满庭网络科技有限公司,南京-江宁区,0.4-1万/月,07-23,无工作经验,大专,销售经理;大客户销售;一手房;租赁;业务;房产销售;渠道销售;电话销售;置业顾问;网络销售;房产经纪人;市场营销,招5人
TPO技术工程师,上海东方雨虹防水技术有限责任公司,上海,,07-23,无工作经验,招若干人,其他,07-23发布
