,职位,公司,城市,工资,发布日期,经验要求,学历,职能类别,招聘人数
0,市场排片（衢州）,浙江神画影业有限公司,衢州,6-8千/月,07-23,1年经验,大专,其他,招2人
1,机械手软件开发工程师,成都卡诺普自动化控制技术有限公司,成都-成华区,0.8-1万/月,07-23,2年经验,大专,高级软件工程师;软件工程师;C++语言;QT,招1人
2,跟单员,广州智动识别系统有限公司,广州-天河区,4.5-6千/月,07-23,1年经验,高中,电话销售;电话销售,招1人
3,海空运操作员,信宏国际货运代理（上海）有限公司,上海-虹口区,6-8千/月,07-23,1年经验,大专,船务/空运陆运操作;海空运进出口,招1人
4,教务主任,广州SIXTY学院,广州-白云区,4.5-6千/月,07-23,1年经验,,院校教务管理人员;后勤;教务;教务主任;教务管理;班主任;辅导员;后勤人员,招2人
5,IE工程师,上海茂腾针织有限公司,盐城,6-8千/月,07-23,3-4年经验,大专,产品工艺/制程工程师,招2人
6,资深幕墙设计师,华新（南京）置业开发有限公司,南京-建邺区,1-1.5万/月,07-23,5-7年经验,大专,幕墙工程师;幕墙;施工管理;常驻项目工地,招1人
7,市场专员,广州市龙星行汽车销售服务有限公司,广州-海珠区,4-6千/月,07-23,1年经验,大专,市场企划专员;市场助理;市场;市场专员;策划;奔驰;国企;汽车;4S店,招1人
8,采购,乐歌人体工学科技股份有限公司,宁波,5-7千/月,07-23,3-4年经验,大专,采购员,招2人
9,带薪培训 不限经验  速卖通运营 亚马逊运营,深圳市宝视佳科技有限公司,深圳-龙华新区,4.5-9千/月,07-23,无工作经验,大专,贸易/外贸专员/助理;电子商务专员;销售;业务;外贸;电子商务;网络销售;互联网;外贸业务;国际贸易;外贸销售,招若干人
10,质量体系协调员QMS Coordinator,泰西塑料（上海）有限公司,上海,6-8千/月,07-23,3-4年经验,大专,审核员;体系工程师,招1人
11,疫苗研发工程师,苏州宇之波生物科技有限公司,苏州-工业园区,6-9.9千/月,07-23,无工作经验,本科,生物工程/生物制药;医药技术研发人员;生物医药;分子生物学;生物化学;免疫学;疫苗;抗体;病毒;兽用生物制品,招4人
12,销售总监（OA/协同/办公软件方向）,北京小裙科技有限公司,北京-昌平区,1-1.5万/月,07-23,2年经验,大专,销售代表;渠道销售;直销销售;电话销售,招1人
13,接待,沈阳亿启来旅游发展有限公司,沈阳,2-3千/月,07-23,无工作经验,,前台接待/总机/接待生,招2人
14,品质经理,深圳市格瑞普电池有限公司,深圳-龙华新区,1-1.5万/月,07-23,5-7年经验,大专,品质经理;品质、质检,招1人
15,嵌入式硬件工程师—(IMAX6平台),上海思必诚信息科技发展有限公司,上海,1.5-2万/月,07-23,5-7年经验,本科,嵌入式硬件开发(主板机…);硬件;硬件开发;硬件工程师;嵌入式硬件,招1人
16,网络/在线咨询师（工程大学流芳校区）,武汉慧谷教育管理咨询有限公司,武汉-江夏区,5-8千/月,07-23,无工作经验,大专,咨询员,招5人
17,售前工程师（华三）,北京中青旅创格科技有限公司,兰州,4.5-5.5千/月,07-23,1年经验,大专,售前/售后技术支持经理;售前/售后技术支持工程师;售前技术支持;售后技术支持;售前工程师;售后工程师;销售主管,招1人
18,体育老师（花都校区）,广东华文航空艺术职业学校,广州-花都区,4.5-6千/月,07-23,1年经验,大专,体育教师;职业技术教师;体育;教师;老师,招2人
19,客户经理,长江证券股份有限公司上海卫清东路证券营业部,上海-金山区,0.6-1万/月,07-23,无工作经验,本科,投资/理财顾问,招2人
20,水电工,广州新机场穗和集团有限公司,广州-白云区,4-4.5千/月,07-23,2年经验,高中,物业维修员,招若干人
21,淘宝客服,武汉安穗服饰有限公司,武汉-江汉区,3.5-5千/月,07-23,1年经验,初中及以下,网店/淘宝客服;售前客服,招4人
22,资产渠道管理岗(苏州)(005718),中信银行信用卡中心苏州分中心,呼和浩特,6-8千/月,07-23,2年经验,本科,风险控制,招2人
23,主办会计（电商）,浙江枫飞源广告有限公司,杭州-余杭区,6-8千/月,07-23,1年经验,大专,会计;会计经理/会计主管;电商财务,招1人
24,材料员,江苏永利装饰工程有限公司,武汉-洪山区,4.5-6千/月,07-23,5-7年经验,大专,其他,招1人
25,商谈经理,成都鼎尊餐饮管理有限责任公司,成都-武侯区,4.5-6千/月,07-23,3-4年经验,大专,商务经理,招若干人
26,总账会计（成本会计）,深圳市量品电子科技有限公司,深圳-龙华新区,4.5-8千/月,07-23,3-4年经验,大专,会计;会计、财务,招2人
27,蛋糕制作学徒,佛山市幸福蛋糕食品有限公司,佛山,2-2.5千/月,07-23,无工作经验,,厨师助理/学徒,招3人
28,化妆品原料销售（周末双休，五险一金，年底双薪）,广州祈缘生物科技有限公司,广州-花都区,0.4-1万/月,07-23,无工作经验,大专,销售代表;销售经理;原料销售;业务员;销售代表;销售人员,招3人
29,物理老师,广州新导航教育咨询有限公司,广州-增城,6-8千/月,07-23,无工作经验,本科,中学教师;兼职教师;物理老师;物理教师;初中物理;全职;高中物理,招2人
30,销售主管,银雁科技服务集团股份有限公司,重庆-南岸区,0.6-1万/月,07-23,2年经验,大专,销售主管;电话销售,招1人
31,天猫淘宝直播主播,上海宝淘汽车用品有限公司,上海-浦东新区,0.5-1万/月,07-23,无工作经验,初中及以下,主播/主持人;淘宝主播;直播,招1人
32,高级招聘专员,安徽紫薇帝星数字科技有限公司,合肥-高新区,4-7千/月,07-23,3-4年经验,大专,招聘专员/助理,招2人
33,媒介专员（双休）,广东叁六网络科技有限公司,广州-越秀区,5-7.5千/月,07-23,无工作经验,大专,SEO/SEM;SEN专员;运营专员;媒介客服,招1人
34,公寓店长,魔方公寓,珠海,0.6-1万/月,07-23,无工作经验,,酒店/宾馆经理,招3人
35,行政前台,重庆义发成功建材集团有限公司,重庆-九龙坡区,3-4千/月,07-23,3-4年经验,大专,行政专员/助理,招1人
36,检验员,捷考奥电子（上海）有限公司,上海-闵行区,3-4.5千/月,07-23,1年经验,高中,质量检验员/测试员;采购材料、设备质量管理,招1人
37,高薪招聘车库机械车位操作员,上海捷勋办公设备有限公司,上海-浦东新区,5.7-6.6千/月,07-23,无工作经验,初中及以下,停车管理员,招5人
38,客服文员,广州卓奥信息科技有限公司,广州-天河区,6-8千/月,07-23,1年经验,,客服专员/助理,招2人
39,助理,上海群安电子有限公司,绍兴,4.5-6千/月,07-23,无工作经验,大专,经理助理/秘书;技术支持/维护工程师;技术;行政;助理;生产跟进,招2人
40,自动化工程师,上海智皓电子科技有限公司,武汉-洪山区,0.5-1.2万/月,07-23,2年经验,大专,自动控制工程师/技术员;工程/设备工程师,招2人
41,IE工程师,泰州市创新电子有限公司,泰州,3.5-6千/月,07-23,无工作经验,大专,工业工程师;工程师;工业工程,招1人
